Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000622937399_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.622937,2000.623027,0.004531,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000631131688_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.631132,2000.631462,0.00461,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000639331384_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.639331,2000.639621,0.004871,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000647532386_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.647532,2000.647622,0.004271,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000655732154_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.655732,2000.655882,0.00471,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000663932553_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.663933,2000.664143,0.00467,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000672125289_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.672125,2000.672455,0.004871,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000680324306_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.680324,2000.680514,0.004571,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000688522522_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.688523,2000.688653,0.00439,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000696719437_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.696719,2000.697029,0.004991,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000704911233_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.704911,2000.705221,0.00437,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000713105422_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.713105,2000.713215,0.004351,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000721303161_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.721303,2000.721373,0.00419,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000729503765_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.729504,2000.729574,0.00437,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000737702634_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.737703,2000.737873,0.00479,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000745900598_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.745901,2000.746151,0.00485,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000754099941_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.7541,2000.75425,0.00463,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000762295320_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.762295,2000.762385,0.004651,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000770493967_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.770494,2000.770564,0.00445,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000778695178_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.778695,2000.778885,0.00461,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000786896447_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.786896,2000.787246,0.004751,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000795089372_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.795089,2000.795139,0.004391,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000803284463_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.803284,2000.803374,0.004811,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000811483426_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.811483,2000.811653,0.004691,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000819680457_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.81968,2000.81989,0.004971,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000827880531_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.827881,2000.828031,0.00459,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000836075614_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.836076,2000.836266,0.00467,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000844267781_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.844268,2000.844398,0.00473,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000852462610_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.852463,2000.852793,0.00469,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000860662447_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.860662,2000.860972,0.004551,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000868856898_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.868857,2000.869147,0.00457,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000877052470_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.877052,2000.877122,0.004631,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
